x,y,c
53.69,21,0
60.33,8,3
40.97,42,0
49.29,21,0
56.06,34,0
66.16,32,0
32.61,23,2
37.37,25,0
46.04,38,0
57.17,33,0
41.06,31,0
47.21,36,0
55.74,44,0
56.34,25,0
61.53,11,3
61.4,38,0
59.03,29,0
26.76,22,2
48.24,34,0
50.84,33,0
64.25,28,0
23.06,15,2
47.25,23,0
59.19,33,0
32.71,17,2
48.87,25,0
58.68,24,0
51.16,25,0
49.48,34,0
16.05,36,0
53.49,51,0
57.19,19,3
49.38,37,0
38.82,16,2
49.88,37,0
48.81,30,0
58.86,42,0
45.22,39,0
49.25,25,0
71.53,49,0
49.41,38,0
63.19,21,3
48.68,22,0
50.11,34,0
43.56,24,0
49.36,23,0
23.03,21,2
36.14,30,0
37.48,26,0
46.35,35,0
41.54,27,0
66.05,36,0
47.09,27,0
33.84,35,0
41.45,37,0
56.09,9,3
54.66,34,0
53.23,47,0
53.51,33,0
48.56,37,0
35.91,30,0
58.04,28,0
37.16,19,2
42.45,16,2
62.65,41,0
51.42,35,0
46.31,22,0
51.36,33,0
63.62,41,0
56.54,39,0
48.58,36,0
30.37,37,0
51.75,37,0
61.68,24,0
56.54,33,0
41.22,13,2
46.08,35,0
53.21,39,0
57.95,21,0
53.4,45,0
50.32,40,0
62.06,37,0
32.9,36,0
43.48,15,2
47.76,25,0
41.61,4,2
28.72,37,0
53.37,40,0
37.81,34,0
48.7,46,0
53.23,40,0
43.47,33,0
64.55,30,0
59.34,38,0
29.92,49,0
45.67,39,0
44.99,36,0
51.07,13,3
57.87,38,0
57.9,34,0
45.41,32,0
66.97,33,0
49.37,40,0
49.54,21,0
51.73,61,0
29.68,30,0
66.12,38,0
52.68,30,0
50.32,46,0
63.2,40,0
45.12,25,0
38.69,22,0
50.77,32,0
48,23,0
55.36,47,0
53.11,48,0
38.51,28,0
38.96,21,2
27.4,30,0
34.95,35,0
68.86,31,0
60.4,28,0
37.33,38,0
59.63,24,0
33.92,43,0
43.98,6,2
53.74,31,0
45.51,33,0
55.09,19,3
68.87,18,3
58.44,19,3
43.75,19,2
47.07,33,0
47.89,28,0
53.3,41,0
57.02,37,0
43.44,31,0
38.49,21,2
61.08,24,0
62.52,41,0
60.04,34,0
53.63,20,0
44.96,46,0
43.37,50,0
31.88,30,0
41.01,37,0
53.72,13,3
48.05,18,2
63.38,41,0
55.92,22,0
51.54,22,0
39.27,34,0
59.22,14,3
57.77,14,3
60.84,9,3
63.59,21,3
53.12,30,0
58.89,9,3
61.69,36,0
49.56,24,0
45.44,29,0
50.28,21,0
47.42,35,0
45.8,28,0
38.07,23,0
44.13,24,0
51.91,59,0
51.7,36,0
39.66,19,2
49.73,26,0
52.86,24,0
55.81,29,0
42.86,24,0
52.31,25,0
62.35,28,0
32.9,16,2
48.51,23,0
45.33,12,2
49.09,12,2
37.89,14,2
67.15,17,3
48.01,32,0
45.44,28,0
52.54,22,0
59.23,40,0
31.85,37,0
49.4,54,0
51.11,25,0
64.34,47,0
58.32,42,0
46.99,13,2
65.75,34,0
62.34,12,3
51.33,38,0
50,27,0
63.06,27,0
64.66,24,0
54.99,36,0
40.95,35,0
52.29,40,0
40.47,30,0
59.56,42,0
58,46,0
55.12,34,0
59.21,26,0
65.54,39,0
55.64,24,0
62.4,40,0
51.01,22,0
48.83,24,0
57.58,35,0
47.21,34,0
49.26,26,0
59.51,30,0
46.12,33,0
51.7,37,0
85.36,17,3
40.04,35,0
34.77,5,2
45.1,4,2
56,8,3
38.14,5,2
53.39,5,3
50.55,7,3
48.8,6,2
55.99,3,3
48.37,4,2
55.19,6,3
51.51,5,3
43.29,9,2
44.96,7,2
43.45,5,2
48.92,8,2
52.9,6,3
50.99,5,3
45.08,5,2
53.36,2,3
53.27,4,3
51.93,6,3
64.96,6,3
49.22,5,2
59.82,7,3
45.24,4,2
60.4,7,3
35.14,5,2
43.86,6,2
57.49,6,3
47.98,7,2
48.33,7,2
52.42,3,3
40.59,6,2
42.54,3,2
39.43,6,2
67.04,4,3
32.58,5,2
41.75,9,2
55.95,4,3
49.61,4,2
43.04,8,2
33.5,5,2
47.25,6,2
47.47,7,2
29.47,8,2
52.55,2,3
52.6,3,3
58.98,6,3
44.94,4,2
59.72,7,3
57.38,5,3
46.76,6,2
35.58,5,2
42.55,10,2
46.44,5,2
29.66,1,2
30.77,8,2
65.73,8,3
73.5,6,3
41.94,3,2
38.2,6,2
49.47,4,2
42.9,6,2
44.02,4,2
74.03,6,3
41.73,7,2
63.6,4,3
59.71,4,3
51.75,4,3
49.68,5,2
43.6,1,2
60.76,6,3
44.84,2,2
53.99,4,3
46.74,4,2
48.99,7,2
56.28,4,3
49.19,3,2
51.3,5,3
62.3,6,3
64.5,5,3
43.31,3,2
50.87,4,3
33.18,1,2
60.07,2,3
47.48,2,2
38.98,5,2
61.65,4,3
60.52,9,3
50.87,4,3
40.61,4,2
61.48,3,3
50.18,6,3
50.89,10,3
51.97,4,3
52.07,5,3
31.06,3,2
52.44,6,3
35.84,9,2
52.66,7,3
50.39,4,3
54.05,1,3
25.78,3,2
51.53,8,3
36.51,7,2
48.2,6,2
47.23,5,2
60.59,6,3
59.46,8,3
54.7,4,3
45.16,4,2
44.92,3,2
53.44,5,3
32.54,9,2
44.51,5,2
62.26,6,3
39.05,3,2
37.68,4,2
42.33,10,2
66.06,4,3
32.94,7,2
39.67,4,2
63.08,9,3
73.78,4,3
45.24,5,2
59.71,9,3
39.79,6,2
35.93,6,2
49.1,5,2
50.22,8,3
68.63,8,3
62.03,6,3
55.64,7,3
55.4,8,3
52.28,8,3
39.84,1,2
35.52,5,2
48.79,3,2
70.7,2,3
61.92,4,3
59.86,4,3
68.37,5,3
47.65,4,2
46.7,0,2
31.24,1,2
49.47,10,2
50.58,8,3
38.61,6,2
42.83,6,2
59.72,7,3
50.21,2,3
38.04,7,2
66.87,6,3
31.07,3,2
57.66,6,3
50.89,5,3
35.99,5,2
62.2,4,3
56.52,2,3
63.05,1,3
46.99,3,2
30.45,2,2
58.23,6,3
37.05,5,2
31.14,4,2
28.91,4,2
58.82,4,3
34.34,3,2
32.49,3,2
57.76,3,3
73.89,4,3
38.4,8,2
44.13,5,2
42.26,6,2
45.89,7,2
62.56,8,3
53.54,6,3
55.4,4,3
48.81,3,2
51.01,7,3
36.88,7,2
56.42,6,3
39.94,4,2
38.7,8,2
47.39,6,2
64.67,3,3
67.47,5,3
49.39,6,2
43.1,6,2
34.03,5,2
32.72,0,2
60.65,5,3
57.26,6,3
55.1,4,3
61.06,4,3
38.91,4,2
51.35,3,3
56.87,6,3
50.2,5,3
55.34,6,3
47.95,3,2
47.47,6,2
35.44,6,2
31.45,8,2
28.16,3,2
68.57,6,3
41.5,5,2
53.75,8,3
37.47,5,2
55.63,4,3
50.45,7,3
51.61,3,3
38.08,7,2
37.26,5,2
33.01,4,2
45.87,6,2
45.45,4,2
53.15,8,3
54.58,5,3
53.08,2,3
43.09,4,2
34.46,4,2
52.19,4,3
55.54,5,3
51.45,5,3
62.7,1,3
50.18,8,3
53.44,6,3
53.42,4,3
54.52,4,3
50.89,6,3
64.49,9,3
51.92,8,3
57.49,6,3
42.97,1,2
43.27,4,2
44.69,6,2
54.16,3,3
50.07,4,3
48.42,5,2
42.59,6,2
50.69,4,3
62.86,3,3
51.78,2,3
47.89,3,2
38.05,1,2
54.09,4,3
38.88,4,2
58,5,3
42.04,5,2
35.44,2,2
43.73,8,2
65.7,5,3
43.3,5,2
54.89,3,3
54.69,6,3
46.22,6,2
47.7,5,2
39.19,8,2
57.11,3,3
47.65,7,2
38.13,2,2
33.77,4,2
54.62,6,3
51.86,4,3
56.75,6,3
50.98,4,3
46.99,6,2
52.3,4,3
47.64,5,2
28.82,9,2
53.48,2,3
45.16,6,2
56.73,4,3
71.55,4,3
32.1,2,2
41.81,3,2
52.98,3,3
43.82,3,2
40.81,3,2
46.33,8,2
37.48,6,2
42.87,4,2
54.26,5,3
46.69,6,2
48.46,6,2
56.82,8,3
48.73,4,2
38.76,4,2
38.23,2,2
54.06,6,3
42.25,9,2
35.22,3,2
43.64,5,2
45.7,5,2
45.41,6,2
70.97,4,3
36.19,4,2
56.54,3,3
44.52,1,2
42.87,6,2
33.86,5,2
65.17,10,3
42.75,4,2
42.59,6,2
45.15,3,2
49.7,3,3
55.39,2,3
32.12,6,2
60.07,6,3
62.34,3,3
75.84,3,3
49.46,8,2
58.15,7,3
49.1,9,2
45.97,4,2
37.1,6,2
55.74,6,3
42.81,6,2
53.28,5,3
43.15,3,2
54.53,4,3
69.29,4,3
42.99,4,2
66.21,4,3
50.94,5,3
53.75,6,3
45.17,5,2
44.64,7,2
39.62,7,2
54.55,7,3
53.05,4,3
54.35,1,3
48.64,6,2
49.34,5,2
46.83,2,2
31.81,4,2
34.46,3,2
27.3,5,2
53.95,3,3
46.57,6,2
33.36,6,2
36.42,7,2
65.73,5,3
49.9,5,3
56.31,3,3
33.04,3,2
48.62,10,2
47.42,5,2
68.57,4,3
45.07,4,2
56.07,7,3
47.01,6,2
51.53,6,3
51.81,7,3
66.83,6,3
50.79,4,3
46.33,2,2
30.52,11,2
41.67,1,2
53.38,7,3
60.45,6,3
41.56,3,2
28.94,4,2
43.5,8,2
56.31,6,3
67.77,4,3
41.93,2,2
71.73,5,3
57.04,0,3
38.44,7,2
55.64,5,3
57.39,2,3
60.07,3,3
46.69,2,2
46.59,3,2
55.64,3,3
46.09,4,2
46.25,2,2
61.75,8,3
66.17,4,3
58.07,6,3
56.07,4,3
49.81,6,3
49.75,5,3
35.17,9,2
55.71,5,3
49.71,4,3
48.97,3,2
61.79,5,3
42.77,7,2
47.63,8,2
67.19,4,3
52.03,3,3
55.64,5,3
44.09,5,2
49.52,7,2
49.78,4,3
39.56,5,2
50.54,8,3
39.46,9,2
41.69,5,2
48.03,8,2
37.91,5,2
40.81,4,2
58.1,2,3
49.63,5,2
59.36,7,3
37.14,6,2
49.41,6,2
57.34,2,3
46.58,7,2
42.21,6,2
41.14,2,2
37.63,3,2
60.88,5,3
64.56,3,3
58.97,6,3
51.2,6,3
52.84,3,3
22.36,5,2
60.75,2,3
60.38,4,3
64.18,1,3
71.11,6,3
31.35,3,2
52.38,4,3
54.01,4,3
51.31,5,3
65.89,3,3
51.92,7,3
57.51,5,3
48.94,3,2
34.86,6,2
42.96,3,2
38.96,4,2
41.74,8,2
66.37,5,3
31.92,4,2
52.07,6,3
55.77,5,3
59.03,4,3
49.53,7,2
56.58,7,3
33.62,7,2
70.55,6,3
63.68,2,3
61.78,9,3
39.21,8,2
37.13,5,2
57.08,6,3
24.9,8,2
55.34,5,3
43.47,7,2
73.8,6,3
58.36,10,3
52.88,4,3
44.65,6,2
46.85,5,2
55.2,7,3
58.28,0,3
67.36,6,3
50.38,5,3
56.21,1,3
47.79,6,2
63.18,5,3
57.18,5,3
58.44,6,3
60.4,6,3
43.94,4,2
53.34,3,3
42.96,3,2
46.07,3,2
52.09,9,3
57.35,5,3
72.05,7,3
55.19,4,3
33.32,4,2
51.53,4,3
52.11,5,3
46.24,7,2
51.59,6,3
63.62,6,3
59.02,5,3
53.71,6,3
60.37,6,3
56,9,3
58.05,5,3
50.86,6,3
39.44,8,2
44.61,8,2
54.2,10,3
36.76,5,2
74.83,4,3
46.57,6,2
50.74,4,3
46.85,4,2
52.01,4,3
63.96,6,3
68.24,2,3
43.22,7,2
51.73,6,3
44.04,5,2
53.66,6,3
54.99,4,3
59.09,5,3
64.15,6,3
28.36,7,2
57.13,4,3
54.29,9,3
70.87,7,3
46.55,5,2
64.77,5,3
48.84,5,2
51.37,2,3
75.54,7,3
44.68,7,2
46.59,4,2
46.66,8,2
50.36,3,3
51.39,4,3
53.95,2,3
57.78,7,3
45.77,4,2
44.64,6,2
42.6,2,2
63.59,3,3
53.75,6,3
55.88,3,3
31.35,7,2
42.2,5,2
50.1,7,3
40.18,4,2
43.8,3,2
41.84,7,2
57.03,4,3
70.83,5,3
54.96,3,3
72.8,1,3
45.58,5,2
61.79,3,3
39.81,4,2
60.9,3,3
53.76,9,3
55.85,5,3
63.36,6,3
63.15,6,3
58.98,6,3
44.21,5,2
42.09,2,2
39.78,5,2
70.77,5,3
54.82,3,3
54.07,5,3
56.74,7,3
42.78,5,2
22.27,7,2
43.07,4,2
43.5,4,2
58.48,8,3
40.4,6,2
54.84,5,3
51.83,6,3
53.08,2,3
51.08,7,3
63.84,1,3
40.95,6,2
48.07,4,2
63.67,7,3
56.59,2,3
39.37,5,2
46.7,6,2
50.53,6,3
54.02,4,3
47.21,4,2
48.05,9,2
52.01,7,3
65.61,4,3
58.38,5,3
51.45,5,3
51.74,3,3
54.57,3,3
53.41,8,3
46.4,5,2
39.22,3,2
56.13,5,3
48.63,7,2
40.75,4,2
50.55,5,3
45.64,3,2
59.35,4,3
50.47,1,3
36.82,3,2
46.86,4,2
43.53,2,2
48.16,6,2
48.21,2,2
59.44,7,3
42.9,6,2
57.77,2,3
46.41,5,2
40.59,9,2
44.24,4,2
60.7,1,3
52.5,3,3
56.38,10,3
45.2,6,2
48.46,6,2
48.5,6,2
45.83,2,2
54.89,4,3
38.09,2,2
52.25,5,3
48.21,8,2
50.43,7,3
50.07,2,3
48.47,9,2
66.46,6,3
40.46,5,2
15.52,3,2
62.54,4,3
39.57,6,2
47.88,7,2
27.5,3,2
45.97,7,2
42.01,4,2
62.54,4,3
46.36,3,2
47.58,10,2
51.68,4,3
71.04,4,3
55.43,4,3
36.37,2,2
52.4,3,3
36.89,6,2
54.39,7,3
54.56,5,3
60.76,5,3
30.32,3,2
58.49,6,3
59.55,8,3
30.84,7,2
44.06,1,2
37.52,6,2
64.31,5,3
50.05,4,3
54.52,6,3
56.53,5,3
59.16,8,3
56.49,6,3
33.68,4,2
54.42,7,3
47.62,5,2
52.44,7,3
55.47,7,3
41.38,8,2
60.32,3,3
42.71,5,2
41.83,8,2
48.98,4,2
57.87,5,3
41.84,4,2
55.12,6,3
38.5,1,2
37.73,4,2
36.91,3,2
37.5,6,2
60.28,2,3
45.51,6,2
51.59,4,3
49.46,6,2
57.05,4,3
41.16,2,2
55.64,5,3
56.91,3,3
57.02,7,3
60.17,5,3
45.68,3,2
68.44,6,3
58.77,5,3
51.97,2,3
58.28,5,3
50.39,5,3
23.9,6,2
36.91,6,2
48.86,4,2
70.21,6,3
61.06,3,3
49.54,9,2
47.36,7,2
54.75,5,3
62.01,4,3
56.41,3,3
32.09,2,2
42.75,7,2
73.66,5,3
54.27,5,3
42.71,7,2
46.62,3,2
45.74,4,2
53.28,5,3
41.83,5,2
48.76,4,2
47.89,4,2
49.28,2,2
56.76,6,3
42.92,6,2
44.74,8,2
51.19,5,3
41.78,5,2
47.95,9,2
58.91,6,3
52.6,7,3
53.59,2,3
48.09,6,2
39.06,1,2
57.59,4,3
44.44,3,2
59.68,4,3
57.78,4,3
27.86,8,2
48.62,9,2
54.09,5,3
39.3,2,2
38.32,5,2
43.68,1,2
53.08,5,3
55.26,5,3
51.24,2,3
50.03,3,3
49.38,3,2
68.26,5,3
44.97,8,2
43.36,3,2
42,8,2
56.86,6,3
36.67,7,2
34.28,2,2
57.2,5,3
61.23,7,3
41.21,5,2
43.36,4,2
43.16,6,2
55.7,5,3
46.44,5,2
55.43,3,3
55.96,8,3
60.51,2,3
55.29,6,3
64.11,5,3
47.18,7,2
49.05,5,2
41.91,5,2
39.94,6,2
52.03,5,3
47.6,4,2
57.05,9,3
57.45,5,3
29.65,3,2
44.09,4,2
61.38,9,3
39.04,4,2
48.86,10,2
42.99,8,2
53.51,8,3
63.68,6,3
35.51,7,2
38.84,4,2
52.64,6,3
65.57,6,3
47.85,7,2
57.64,4,3
62.54,7,3
52.2,7,3
35.54,7,2
41.49,6,2
49.31,6,2
33.9,6,2
41.13,4,2
57.57,1,3
40.22,6,2
39.79,4,2
56.45,4,3
51.2,3,3
54.34,6,3
75.52,0,3
37.02,2,2
57.63,8,3
37.91,7,2
36.49,5,2
44.97,9,2
49.35,10,2
53,4,3
56.63,5,3
66.45,4,3
41.42,7,2
59.14,8,3
36.8,4,2
55.03,2,3
51.24,5,3
45.52,4,2
50.75,5,3
73.97,3,3
40.05,5,2
49.55,3,2
60.58,3,3
36.12,4,2
43.7,7,2
77.82,9,3
42.41,7,2
46.46,6,2
42.52,5,2
48.96,6,2
41.59,3,2
58.07,5,3
49.89,9,3
71.42,3,3
48.29,5,2
47.24,3,2
42,5,2
52.11,8,3
54.97,5,3
58.11,9,3
72.99,4,3
58.53,2,3
56.08,4,3
33.77,3,2
39.31,3,2
33.46,8,2
48.75,8,2
64.69,5,3
38.47,2,2
47.13,3,2
50.73,9,3
34.4,2,2
33.48,5,2
45.9,7,2
49.23,3,2
51.51,6,3
49.18,5,2
57.78,5,3
28.74,5,2
45.15,5,2
50.93,7,3
61.99,5,3
47.9,3,2
65.76,4,3
56.57,8,3
48.53,4,2
53.39,7,3
43.86,8,2
58.52,6,3
66.75,7,3
68.18,5,3
62.89,5,3
55.64,4,3
53.12,6,3
57.4,9,3
35.52,6,2
40,3,2
58.5,5,3
27.59,7,2
45.9,6,2
62.47,7,3
38.7,5,2
53.45,4,3
56.48,3,3
58.94,5,3
58.46,8,3
58.46,5,3
57.82,1,3
46.11,4,2
57.25,6,3
35.04,5,2
38.49,7,2
62.91,4,3
51.77,5,3
34.74,8,2
48.67,3,2
72.61,4,3
41.2,3,2
45.08,4,2
54.41,7,3
36.24,2,2
43.29,4,2
35.7,2,2
49.07,7,2
53.42,7,3
66.52,2,3
54.8,8,3
51.22,4,3
40.14,1,2
45.01,7,2
67.27,3,3
55.42,6,3
45,7,2
63.99,5,3
50.13,7,3
41.71,8,2
64.48,3,3
52.58,7,3
50.79,5,3
60.41,8,3
44.97,6,2
43.83,3,2
41.84,7,2
60.82,5,3
46.26,7,2
44.7,4,2
42.04,3,2
38.93,1,2
57.13,5,3
37.52,1,2
59.66,3,3
49.6,4,2
40.66,7,2
48.05,7,2
55.67,3,3
43.35,3,2
46.51,6,2
70.91,7,3
44.03,7,2
35.2,6,2
43.3,5,2
44.78,6,2
52.82,5,3
37.21,5,2
42.7,6,2
33.32,8,2
58.67,6,3
58.13,7,3
47.11,6,2
45.39,6,2
39.61,6,2
63.94,4,3
45.15,3,2
59.59,6,3
64.19,4,3
45.63,7,2
47.64,3,2
63.75,8,3
54.16,5,3
66.42,4,3
45.96,4,2
37.21,6,2
70.05,7,3
54.32,3,3
49.09,5,2
47.47,7,2
56.14,6,3
47.57,5,2
55.15,9,3
52.99,9,3
68.57,4,3
35.46,5,2
27.32,6,2
44.74,2,2
46.55,5,2
36.59,7,2
45.58,0,2
68.64,9,3
36.22,5,2
43.94,6,2
39.21,5,2
32.36,5,2
70.25,6,3
51.06,7,3
46.92,6,2
44.49,7,2
62.01,2,3
32.33,7,2
54.26,3,3
52.53,6,3
50.69,8,3
53.79,5,3
36.19,2,2
42.01,4,2
31.12,5,2
56.16,6,3
62.38,2,3
52.32,6,3
34.81,3,2
42.03,4,2
43.61,8,2
63.2,7,3
41.61,4,2
33.45,5,2
39.06,8,2
53.51,1,3
19.62,3,2
41.26,7,2
51.31,3,3
32.51,2,2
53.18,7,3
51.24,5,3
48.97,4,2
68.7,3,3
74.14,5,3
38.76,6,2
46.39,6,2
56.55,2,3
50.93,10,3
44.51,1,2
76.31,4,3
59.02,3,3
45.85,6,2
59.98,6,3
44.15,5,2
56.09,11,3
41.52,5,2
71.33,4,3
66.13,4,3
38.77,5,2
48.5,7,2
43.65,5,2
52.81,10,3
57.35,7,3
57.27,4,3
58.51,6,3
48.44,7,2
45.99,3,2
62.48,8,3
53.07,1,3
43.96,5,2
55.07,6,3
34.54,2,2
50.82,6,3
55.45,8,3
50.43,7,3
59.81,8,3
48.09,3,2
64.81,8,3
48.74,7,2
53.44,1,3
52.31,3,3
38.29,6,2
47.79,9,2
71.67,7,3
37.41,5,2
52.13,7,3
63.03,2,3
52.1,2,3
47.39,5,2
42.57,5,2
76.89,5,3
52.59,6,3
56.08,8,3
38.66,1,2
45.23,5,2
52.85,5,3
56.87,6,3
36.66,4,2
48.88,2,2
60.99,4,3
48.69,6,2
36.84,6,2
36.08,5,2
49.37,3,2
51.82,5,3
42.53,4,2
44.13,6,2
53.27,6,3
54.33,6,3
65.01,6,3
51.46,4,3
56.07,6,3
53.48,5,3
71.54,1,3
44.69,3,2
36.53,6,2
50.75,4,3
57.83,7,3
47.41,3,2
52.98,6,3
46.99,6,2
66.27,5,3
33.42,9,2
61.98,4,3
34.11,1,2
52.42,7,3
57.05,5,3
54.73,5,3
64.47,2,3
31.38,7,2
68.87,5,3
57.61,5,3
57.65,8,3
58.08,4,3
51.31,6,3
66.32,6,3
51.75,5,3
51.75,6,3
34.26,5,2
48.79,6,2
23.46,2,2
61.32,4,3
44.18,5,2
38.98,7,2
41.52,8,2
64.71,5,3
55.04,4,3
41.94,3,2
46.88,6,2
73.97,3,3
35.55,5,2
51.54,9,3
53.32,4,3
63.86,2,3
33.69,8,2
47.34,6,2
35.38,4,2
61.31,4,3
55.71,1,3
58.87,3,3
43.3,5,2
36.19,8,2
47.62,5,2
39.87,5,2
51.76,9,3
46.82,5,2
59.73,8,3
60.88,7,3
55.99,4,3
46.93,3,2
62.48,2,3
59.47,5,3
49.09,5,2
42.49,5,2
36.63,5,2
57.03,6,3
40.71,6,2
42.1,6,2
53.8,3,3
53.5,2,3
37.27,6,2
44.17,6,2
39.32,5,2
48.39,6,2
57.14,5,3
47.26,3,2
38.03,5,2
31.36,5,2
68.26,6,3
54.23,2,3
52.52,1,3
52.19,3,3
78.26,4,3
78.56,4,3
58.48,5,3
47.36,7,2
50.25,6,3
76.26,2,3
34.12,4,2
49.99,7,3
60.89,6,3
51.83,6,3
40.4,2,2
64.86,8,3
51.32,3,3
55.83,4,3
61.88,2,3
45.35,4,2
55.7,1,3
40.17,2,2
61.46,7,3
41.67,4,2
44.85,3,2
53.25,8,3
41.92,5,2
63.38,4,3
55.52,8,3
59.16,7,3
62.14,6,3
33.4,9,2
41.01,3,2
39.59,3,2
48.31,6,2
47.96,4,2
40.43,5,2
50.35,4,3
46.08,3,2
48.83,5,2
50.29,4,3
56.23,4,3
36.93,4,2
51.13,8,3
45.21,3,2
47.56,8,2
49.5,9,2
41.22,8,2
65.02,3,3
61.22,9,3
39.6,7,2
59.64,6,3
50.75,8,3
55.84,3,3
51.12,6,3
54.09,6,3
45.71,7,2
64.43,5,3
51.49,2,3
42.73,5,2
55.28,2,3
46.47,7,2
65.79,3,3
42.04,5,2
52.88,5,3
51.86,2,3
42.75,4,2
41.34,3,2
37.14,6,2
51.39,9,3
41.93,4,2
64.54,7,3
50.24,8,3
43.43,10,2
26.87,3,2
55.75,3,3
51.23,5,3
45.6,4,2
53.04,9,3
74.2,3,3
68.53,3,3
61.21,1,3
51.91,2,3
39.73,7,2
63.49,4,3
41.37,1,2
58.09,6,3
41.1,4,2
29.32,6,2
53.43,5,3
42.54,5,2
48.38,6,2
53.68,2,3
43.9,1,2
50.56,4,3
62.59,4,3
37.18,3,2
48.98,6,2
46.67,6,2
56.56,3,3
48.74,3,2
63.24,3,3
36.26,11,2
37.36,2,2
48.48,1,2
29.42,7,2
55.04,5,3
54.05,2,3
49.24,1,2
51.72,5,3
43.03,7,2
56.77,7,3
31.62,5,2
30.61,2,2
39.68,4,2
44.39,4,2
47.51,9,2
59.39,5,3
65.3,5,3
44.3,3,2
47.74,3,2
57.2,7,3
37.62,3,2
44.39,3,2
51.67,5,3
59.58,4,3
42.08,7,2
34.59,5,2
60.39,8,3
